contributions,title,review,
177,Smooths out rough parts of travel,We enjoyed our stay at Hotel Giraffe very much. For the money| this is the best value in the city based on my last 10 trips to NYC. Great access to restaurants (Blue Smoke| Sarabeth’s| Maialino| Black Barn)| and the inclusion of self-serve espresso and pastries/fruit throughout the day| in addition to complimentary breakfast and wine/cheese from 5-8pm make for a very comfortable pace in the city so you don’t have to constantly run around to different places to eat or grab coffee. The New York Sports Club is just down the street (free daily passes included) and the service was exceptional from hotel staff. Looking forward to more visits at Hotel Giraffe.,
32,Perfection,I spent a lot of time researching the perfect hotel at which to stay while celebrating my 40th birthday in NYC. I couldn't have possibly made a better choice than Hotel Giraffe. It was a quick| 24-hour stay for us. We only wish we could have stayed longer. I booked the seasonal special offered on their website which included complimentary hot chocolate and two Hotel Giraffe mugs to take home. However| because it was my birthday| they surprised us when we arrived to our room with a hand-written card| a bottle of Prosecco on ice and silver box containing 4 chocolates. Even though it was cold out| we still enjoyed having a room with a balcony. We loved the size of the room. Everything was clean and comfortable in our king suite. The king bed was very comfortable and my daughter…,
48,Oasis in the city,My seven friends and I have stayed at the Giraffe for the 3rd time in 5 years.  Each time we are greeted by friendly and professional staff - from the doormen to the front desk staff to those behind the scenes (Ray Shum) have made each visit special.  The rooms are spacious| well decorated and extremely clean.  The bathroom was well appointed and with a shower tub - offered an option to guests.   The common areas are filled with fresh flowers daily and the breakfast and Happy hours are sumptuous and Gabriella is an amazing hostess and server.  Her personality is warm and inviting and she adds to the overall ambiance of piano music and chatter.  If you have the opportunity to stay at this gem - do so - you will not be disappointed.,
1,Happy to return to family-friendly luxury.,The Giraffe is our family's favorite hotel in New York.  Not only is it a great value (suites easily fit our family of 4) but we feel truly at home during our stays here.  It's reassuring to meet the same staff over several visits.  Breakfasts and the evening wine and  cheese hours are relaxed and family-friendly.,
1,I’ll be back,This is a well-maintained| well-located hotel with a hotel staff that is attentive and very| very good. The breakfast was a good solid continental and the afternoon amenities were appreciated. And turn-down service was an extra treat.  I look forward to future visits. ,
38,Charming and highly recommend,This is the place if you want to be on the lower east side of NYC. Rooms are modern and well appointed. the staff is professional and attentive. Especially Gabriella during breakfast time or happy hour. The open lobby area is welcoming to hotel guests or guests of guests and has a felling of a salon that you might have at home. You find yourself chatting with strangers who are other guests and simply enjoying each other because the hotel is that comfortable. And it has style.,
1,Another wonderful stay,"Third stay at the Giraffe.   Great location| beautifully appointed rooms| helpful/knowledgeable staff at front desk and a fantastic/comfortable lounge with delicious food and drinks. All of this in a very ""non-stuffy"" atmosphere. (I am a small towner). Thanks so much to Gabrielle (per usual) and to Nicolas. Back soon. Your Canadian friends",
572,We Love the Giraffe!!,This is our second stay at this lovely little hotel. It’s perfectly located between midtown Manhattan and downtown. Hotel Giraffe 🦒 offers a continental breakfast and a complimentary wine and cheese 🧀 reception every evening. They also have a great rooftop garden!  The employees are super friendly| too!!,
27,Only Hotel We'll Ever Stay in when Visiting New York,"We recently stayed for the second time at the Hotel Giraffe and were delighted with every aspect of the hotel.  From the moment we arrived| well before the 3 p.m. check-in| when the desk person moved ""things"" around so that we could get to our room early| to the doorman wishing us a safe trip home when we exited the hotel| our visit could not have been nicer.  The pleasant room| the delicious breakfasts| the evening wine and cheese| the warm and inviting lobby |the excellent location| and most importantly the friendliness of every employee make this a very special place.",
1,Hate to leave,I love this hotel and it’s hard to leave come checkout time. The entire staff is excellent - from doormen to desk| to those serving breakfast and the wine reception| and housekeeping... Planning already,
2,Hotel Giraffe continues to impress,We spent four days and three nights in New York last week| and our stay at Hotel Giraffe could not have been nicer.  The rooms were immaculately cleaned and| unbelievably for New York| spacious.  Staff was accommodating| the little extras| like the cookies and pastries available| as well as the cheese and wine| really added a touch that guaranteed that we will be staying here every time we are in the city now on.,
4,Classy and comfortable,This was a perfect home base to explore lower and midtown Manhattan. Our king suite was roomy and the bed was superb. Heard zero noise from hall and other rooms. Decor is modern and in great condition. Staff is excellent. Nice continental breakfast in lounge with coffee to order. Super little hotel.,
7,Customer centric to the max,Hotel Giraffe is the closest thing to feeling like you are at home when in New York. The staff is terrific and they know how to take care of their guests. The continental breakfast and evening wine and cheese offerings are an appreciated benefit.,
12,Wonderful NYC Stay,Hotel Giraffe was a perfect place for a great visit to the city. Loved the location. The room was lovely - high ceilings| great beds and linens| bath robes| etc! Love the evening wine reception and the breakfast. ,
2,Always Completely Satisfied,The rooms are spacious| extremely clean and very stylish.  I have been staying here for the past 15 years and they still have a lot of the same staff.  I think that says a lot about a place when the employees enjoy their job and don’t want to leave.  Jose| the doorman| and Gabriella| the waitress in dining area| are both accommodating and truly set the tone of the Hotel Giraffe’s atmosphere.  So needless to say| staff is amazing.  Also| the amenities are incredible.  There are not many hotels in NY if any| where the breakfast is included and the wine and cheese hour is complimentary.  This hotel truly adds to any NY visit.,
1,Excellent Stay at Hotel Giraffe,Great location.  Friendly and helpful staff.  Nice complimentary breakfast and wine/cheese reception.  Rooms are large by New York City Standards.  Upscale hotel for adults and business people.  Close to Madison Square Park area which is my favorite neighborhood of NYC.  4 & 6 Subway nearby; QWR Subway is only a few blocks.  I walked from Penn Station but I don't recommend if you have a lot luggage or the weather is bad.,
2,Consistently excellent,Stayed here once again for 16 nights. Exactly as before. Very comfotable hotel in great location. Staff and service always great| efficient and friendly. This was our fourth visit and absolutely certain there will be a fifth.,
1,I love this hotel!,I adore Hotel Giraffe! This was my fifth stay and I wont stay anywhere else! There were 3 of us girls and we got the suite which was perfect! The den has a pull out bed-this room and the bedroom have a closet and bathroom in between so there is plenty of privacy.  The complimentary breakfast is wonderful-they have lattes as well as coffee| fruit and pastries.  The happy hour is so nice-free wine|cheese and crackers. A great spot to unwind after a busy day and before going out to dinner. The staff is the nicest-so helpful and pleasant and the staff has been the same since we started coming 5 years ago!  They even remembered us!  This hotel is by far the best deal in town! Highly recommend!,
4,Two day stay.,Very clean| wonderful service.  The free breakfast was just wonderful| and the woman who works the breakfast is to wonderful| you don't want to leave.  Everyone on staff is amazing.  Anything you need is done right away. ,
1,Overall fantastic experience,Everyone at the hotel treats you like family.  Rooms are inviting and clean. With your stay breakfast  includes custom coffees| fresh fruit and baked goods and warm| fresh boiled eggs and the evening hours offer complimentary wine and cheese| olives and crackers. Service is excellent.  Will definitely stay here on future visits.,
15,Fabulous Boutique Hotel in the heart of NYC,We keep coming back to this hotel for its well appointed rooms| great location| and its complimentary breakfast and late afternoon wine and cheese offerings. Having a great breakfast with fresh fruit| warm hard-boiled eggs| juice| bagels| muffins| scones| and more before venturing out for the day is just wonderful. And the espresso and latte machine is available all day long as well. After a full city day| coming back to the lovely lobby sitting area for wine and cheese makes for a lovely down time before a late dinner and an evening out. The staff is always solicitous and they all want to make your stay a special one. We will always continue to come back to this hotel. We've been in hotels elsewhere with larger rooms| but this room has plenty of drawers for storage| a very well…,
1,A perfect experience,Everything was wonderful. The staff are fantastic| the rooms are spacious and clean and the location was convenient. This hotel is a hidden treasure. The price for what you are getting is very reasonable. I will make certain it is my hotel of choice for my future trips to NYC.,
39,Back again,My favorite hotel in New York. Hotel Giraffe is my “home away from home”. For the minute you walk the staff is impeccable. Not only is breakfast included but fresh fruit| coffee (including cappuccino!) and pastries are included as well. Finally one can’t beat the location.,
20,Amazing hotel in a wonderful location,Loved our room... great size| reasonable price| very nice shower.  We even had a fridge in our room and housekeeping left us 2 waters every morning.  Can’t say enough about the complimentary 3 hour wine/cheese hour each night and complimentary breakfast each morning.  I would definitely stay here again when in New York.  Very convenient walking location or easy Uber ride to many main attractions,
5,Great Location and Hospitality,Loved continental breakfast offerings and the evening hospitality.  It was very welcoming and helped us meet other guests.  Your hostesses were lovely and made us feel most welcomed.  The beds and pillows were very comfortable.  We would stay with you again.  ,
55,A wonderful place to stay in New York,We had a one night layover between flights at the end of a fantastic holiday and decided we would head into Manhattan from JFK.  What a good decision that was!   Hotel Giraffe has a great location on Park Avenue South in the NoMad district of The City.  On our arrival Nick at reception was very attentive and helpful| as were all the staff we spoke to - at the complimentary| nightly wine and cheese reception| at the Bread & Tulips restaurant (we nearly didn't make because of all the wine and cheese) and the following morning at check out.  All the staff treated us like we were family at a house party| fantastic. The room we had was splendid with a very large and comfortable bed (one day I'll get to grips with the way Americans 'super-size' their bed measurements!) . There was a…,
25,Perfect weekend break,From the moment we arrived to the moment we departed the staff could have not been more attentive and helpful.  The room was perfectly appointed| very well maintained (unusual these days in chain hotels I find) and the little touches such as the turn down service really added some finesse.  The lounge was always comfortable and inviting with a loverly atmosphere not just during the complimentary breakfast and evening cheese & wine reception| but all day.  The attached Bread and Tulips restaurant was also excellent. We look forward to returning and would definitely highly recommend.,
65,Beautiful - will return,I was here on business and will return in the future. 4 days and could’ve stayed longer without being unhappy. There’s adequate space in the room| especially for NYC and the staff was very accommodating. The Italian restaurant downstairs was quite acceptable and pricing fair for NYC.,
47,Exceeded all expectations!,We travel to NYC a lot| but this is our new favorite hotel! We loved the size and boutique feel| and the attentive service. We are greeted at the valet by Ron| who expedited our check-in process despite it being quite busy when we arrived. This was a huge help to us| as we were running a bit late. Thank you Ron for that extra level of exceptional service! The location is excellent| close to everything. The hotel is quote nice| and the room was very spacious by all standards| and positively huge by NYC standards. The evening wine and cheese was a nice and very welcome touch. We highly recommend this hotel| and can't wait to return. Jeff & Kayla,
20,Great hotel & clean HVAC!,Comfortable beds| pillows & sheets. Large rooms| quiet| sleep sound machine next to bed. Favorite part... the HVAC did NOT make me congested & stuffy| I slept great! Included breakfast was decent and did the trick. Great location!,
1,My birthday!,What a way to celebrate!  Fine chocolate & champagne on ice in our room upon our arrival.  Very comfortable bed & well thought out room layout.  We have stayed here several times before & never been let down.  Great continental breakfast & daily wine & cheese spread lasting for 3 hours.layout.  Quiet room (requested).  Professional & gracious staff.,
7,Wonderful visit ,Clean big rooms| comfy bed| good noise isolation| and the staff is so helpful and nice. It’s a no brainer for me to go back there next time! Continental breakfast included| maybe a bit small for gluten intolerants/low carbs but you could also order and pay for a warm breakfast.   Thank you. ,
229,Perfect,Friends had recommended this hotel which we had never heard of and it was terrific in every way. The location is central and the building itself is stately. The folks at the front desk are extremely helpful. The room was quiet (we were on the ninth floor facing 26th Street) and large enough. The breakfast is plentiful and served in a light and airy part of the lobby. This hotel has won our hearts and will be our NYC go to from now on.,
1,Boutique Hotel in Mid Town New York,Staff were excellent and very efficient| a big thank you to Gabriela who’s smile lit up the lobby whenever we saw her. The location is good Mid town 2 blocks from the Flat Iron district and 15 mins to the Empire State Building. I would definitely book again.,
2,Great boutique hotel in Chelsea/Madison Square Park area,We love this hotel. It has a great location and is within easy walking distance of Flatiron/Chelsea/Madison Sq Park. Offers complimentary wine and hors d'oeuvres every evening as well as complimentary breakfast. The staff is excellent. ,
3,Mid-week Stay,Spacious room with luxurious amenities. Quality| complimentary breakfast with barista coffees. The only negative was the lack of an on-site gym but complimentary passes to a gym just three blocks away are available.,
1,Great value gem on Park Ave South,Small quite hotel with spacious cozy welcoming lobby great for meeting with a client. Very helpful friendly staff. Stayed in a King with Balcony. The room was very comfortable with great balcony to enjoy a glass of wine at the end of the day. Reasonably priced for this area of NYC. Only 20 to 30 minute cab ride from LAG airport. Next time I need to come to NYC for business will stay here again.,
23,The Perfect Place in the Big Apple,We love to stay ath the Hotel Giraffe.  The rooms are big and beautifully appointed| everything is perfect| the bedding| the bathroom| the storage| and the staff are amazing| making sure your stay goes smoothly.  They will make sure you have the extra pillows| the ice| the this and that| and make sure your car is ready for you when you are.  They are wonderful and the best value for the huge room and the delightful service,
39,Perfection in NYC,Love Hotel Giraffe! Right-sized and great location on Park Ave South. Walk up Broadway to Theater District in 20 minutes. South two blocks to Madison Park tranquility and the iconic Flatiron Building and surrounding shops and restaurants. Great evening wine and cheese in hotel lobby. Well appointed premises throughout - highly-trained and courteous staff. Never disappointed with our visit to NYC when we stay at the Hotel Giraffe. Highly recommend.,
31,my new favorite NY hotel,Loved this hotel and will stay here next time I'm in NYC for business or pleasure. Very attractive boutique hotel with nice accommodations. Rooms not huge| but certainly adequate and bathroom was spacious and modern. Loved the evening wine/cheese spread and the breakfast selection was very good. Nice staff too| especially the wine and breakfast lady. They also had a piano player for the evening. Definitely will be back when i can take full advantage! ,
1,Excellent boutique in NYC,Have made the Hotel Giraffe our goto Hotel in NYC. The staff is great| the breakfast is the perfect amount and the Cheese and Wine in the early evening is something we rush back to.  Strongly recommend the Hotel Giraffe t,
17,Get the King Suite -- perfect with kids! My very favorite NYC hotel to date.,"I come to the city approximately 3-4 times a year.  For perspective| I have stayed at the Chelsea Savoy| The Moxy Times Square| The Millennium Hotel Broadway| and Courtyard.  Of the aforementioned| The Millennium was my favorite for cleanliness and comfort| The Chelsea Savoy for location (I tend to love being AWAY from Times Square and situated in a Manhattan neighborhood).  But none of these compare to my overall WONDERFUL experience at Hotel Giraffe.   Booking was easy and I even got a special rate as it landed during ""Hotel Week.""  Actually| my dates ran one day outside of hotel week| but the special rate was honored anyway.  I was given an early check-in of 9:30 am (unheard of! But the room was ready) and the staff invited us to participate in weekend brunch in the lobby as…",
1,Our 1 night visit to NYC,J and I decided to take a trip to NYC for a show a few blocks away.  I found the Giraffe online| went with the reviews showing that it was a good hotel| in a good spot.  The location was great| the staff| very friendly| the vibe| very intimate.  The room was a good size by NYC standards.  Some nice touches| really can't say anything but good about the Giraffe and will be sure to come back.,
2,Perfect location| amazing staff and great rooms,My sister and I spent 2 weeks at the hotel last year (23 May to 6 June). It was our first time visiting New York (we are South African) and were pleasantly surprised by the location and quality of service at the hotel! Staff are wonderful| helpful and warm! Free wine and cheese evenings were a bonus  - special mention must be made of Gabriela| friendly and efficient  - in the 2 weeks we spent there I do not recall seeing her without a smile on her face! Location is perfect - we were able to walk to many of the landmark in NYC from the hotel and staff were always available to assist with directions and recommendations. We will have no hesitation in staying at Hotel Giraffe on our next visit to NYC!.,
16,Great Hotel made so by wonderful staff,Our 4 night end of December 2018  stay at the Hotel Giraffe was a delight.  Our room was comfortable and quiet. Included Breakfast and evening wine & cheese with piano player were great. The location convenient for dining| museums and other sightseeing.  But what puts the Giraffe several notches above the competition is the outstanding hotel staff.  They made our stay thoroughly enjoyable --- we cannot wait to return!,
106,Great location| clean and comfortable but... somewhere between average and very good.,Having looked at what felt like every hotel review on the web for every hotel in New York midtown| and trying to secure a good rate for a fabulous hotel| I settled on the Giraffe due to the group of library hotels being 1|2 and 3 in NYNY according to Tripadvisor. I had discounted The Nomad| The Surrey and No 1 Hotel among others due mainly to cost as they seemed to be materially no better than the Giraffe. I have given some thought to this review as I know from his review replies that the manager is very proud of his hotel and I didn’t want to be unfair| so my comments will be as objective as I can make them.  The Hotel Giraffe is clean| well positioned and well run. The doorman and staff polite and efficient. The beds very| very comfortable and the rooms both clean and well…,
22,Great Weekend Stay at Hotel Giraffe,This was our second stay at this property. There are several reasons that we went back. First| is there attentive service. From the moment we get there to our departure| the employees are super responsive. A special shout out goes to Gabriela. Second| are the enjoyable wine and cheese happy hour from 5-8 PM and the continental breakfast| both of which are better than other hotels that we stay at. Last is the location| away from the Midtown crowds| but close to many other venues in Manhattan.,
1,Excellent service,We particularly enjoyed the happy hour and free breakfast. The host| Gabriella| was excellent! Very welcoming| attentive service. Also| great location. We walked everywhere we wanted to go. Comfortable bed and room. ,
1,My favorite hotel in NYC,Hotel Giraffe feels like home. This was my fifth or sixth visit. Gabby is the absolute best and makes everyone feel like a friend. She runs the lounge in the lobby where guests have free continental breakfast and wine and cheese each evening. The service across the board is excellent| the rooms are spacious and spotless and the beds are super comfortable. Fantastic location as well. Our only minor complaint:  the coffee and tea in the lounge are not hot enough. If that is all you can complain about| that is a pretty awesome hotel.  ,
5,Consistently high quality,My friend and I spent the weekend at Hotrl Giraffe. It’s lkke coming home| if your home is a well-appointed| spotlessly clean hotel suite with turn down service| a wine and cheese reception each night| and a lovely breakfast each morning.  The staff is friendly and confident. You can tell they are proud to work in a great hotel and they should be. There’s no other place for me in NYC. We even had Prosecco and chocolates waiting for us. You won’t regret staying here.,
31,Brilliant,This hotel is hands down one of the best I have ever stayed in. When we arrived we had a little surprise in the room of prossecco| balloons and a congratulations card as we had recently been married. Nothing was too much for the staff who where dead friendly and helpful. Our toilet broke and they came and fixed it right away. The two girls who served breakfast where so polite and lovely as was the girl who done the cheese and wine. We also spent New Year in the restaurant and it was amazing. The staff were again super friendly and polite. The location was ideal. I would stay at this hotel again in a heartbeat. ,
80,Wonderful European type hotel,We loved our stay at this hotel.  My son daughter with her daughter both stayed here.  The continental breakfast was great.  Also food and coffee  was available all day in the lobby.  I would definitely recommend this hotel for business or pleasure,
39,Everything was great,We really liked our king suite. It had 2 rooms and door separating the bedroom. Enough seating for our family of 4. The lobby was nice|  evening music with snacks and wine were great. All the staff very friendly. Bed was comfortable and lots of pillow choices. We’d be back in a heartbeat.,
7,Christmas in New York,A small but perfectly formed Hotel - we loved the location - easy to walk everywhere or close to subway when tired.  Our rooms very comfortable and the service was excellent.  Would definitely recommend.,
10,Worldwide my most favourite hotel,I've visited this hotel 5 times now and introduced 2 friends who also visit regularly. I love their people| the facilities| the breakfast| the wine and cheese every evening and the location is superb.  They clearly look after their staff as it's the same team there every year and they remember all returning guests even down to your coffee and bagel preference at breakfast.I will be a lifetime regular customer and there's not a single other business I could say that about,
5,Beautiful Hotel,My family and I stayed at this hotel for two weeks over the Christmas and New Year period and it lived up to its reputation on TripAdvisor.Everyone we met in the hotel went out of their way to ensure we had everything we needed and we were treated like royalty by Gabriella. She made us all feel comfortable and took time to ensure our teenage daughters were looked after which was very much appreciated.The location is perfect and the rooms were excellent.Will return again,
1,Family Christmas Get Together,Been doing this ever since Giraffe opened. We won't go anywhere else. Seven rooms plus other friends had three rooms so you cn see we are sold on The Giraffe. Breakfast in the morning in the lobby is outstanding and wine and treats in the evening is perfect .  Later at night lobby is great for [laying games.Personnel in all areas is outstanding.,
1,Cass and Lina,We have been traveling to NYC for Christmas for the last several years and this is our best choice place to stay. It strikes the right balance of Location| size| friendly staff and price that we have found in the city. They treat us like family there.,
5,Perfect Stay,Loved this hotel| the morning breakfast was great for meeting to plan our day and after a busy day to come back to wine and cheese in the eveing was relaxing.  Evening hostess for the wine| Gabriella was delightful and made everyone feel welcome.  Will definitely return ,
6,Quality Hotel,We stayed for 6 nights and absolutely loved this hotel. We cannot speak highly enough of the staff but Gabrielle in particular is an absolute gem and credit to the hotel. It was a pleasure to speak with her at the evening reception.,
23,Stunning detail,Such a great boutique hotel king suite was sumptuous. Turn down service| the Works! Really like the cheese and wine. Nice touch. There is a reason why this is rated number 2 on trip advisor (at time of writing the review anyhow).,
112,Stay here.,I booked the Giraffe for 3 nights to explore New York. We loved it.  Located between 28th and 23rd street subway stations and walking distance to the Flat Iron and even Times Square and Empire State Tower (if you're fit enough).  Breakfast was included which consisted of continental type cofee| toast| bagel| pastry cereal boiled eggs etc.. not bacon pancake though we were happy with this having spent a week indulging on a cruise ship.  Coffee| tea| biscuits| pastries were available all day complimentary and at 5 until 8| quality cheese and wine again complimentary.   The hotel is boutique and the rooms were excellent very big comfortable bed| silent air conditioning and high enough not to hear the city bustle.  I would recomend the Giraffe to anyone.,
81,Good little all rounder,This is a great find| ideally placed in Midtown meaning the walking distances are equally ranged whichever direction you decide to stride out in.  The room was a great| comfortable bed and a powerful shower so I'm happy. Front desk staff were always friendly and helpful| plus the young lady who served breakfast was just lovely. They do a 'continental' breakfast which was fine for us| when we wanted something cooked they offer to help you out| but we just went elsewhere.  A big bonus is they do free wine and cheese! Every night! For 3 hours! Don't get me wrong| we only managed to get back for it once| but what a great little bonus.  I've already told 2 other people to stay here and I'd definitely stay here again. Top job.,
103,Excellent hotel,This was our first stay at this hotel.We stayed here for 5 nights over the New year period. Our check in was easy| staff were friendly and helpful.  Our room was a King suite on the 5th floor. There were 3 of us| me| my husband and our daughter aged 18 years old staying so the room was a perfect size for us.  The bed and pillows were really comfy. We had controllable heating/aircon so we were able to set the room temperature accordingly.  Turn down was done every evening and the sofa bed was made up daily.  Every evening between 5pm and 8pm there was a wine and cheese reception. We enjoyed this a couple of times and used this as a way to relax after a busy day walking around Manhattan. There was one lady in particular who staffed this event. She was very friendly and kept the…,
11,Understated elegance,This is our third stay and our most enjoyable mainly because the suite we were given far exceeded our expectations. You really get spacious| stylish accommodations at this property| fully supported by a strong| professional staff.,
2,Hidden Gem,This is the third time we have stayed there and have already made reservations for this coming  year.  Charming boutique that exceeds expectations.  The staff is friendly and helpful and we particularly enjoy the wine and cheese that is set out in the lobby at 5:00 for the tired and weary.,
4,Great hotel for business travel!,I recently stayed at the hotel on business and found it to be very nice.  I would highly recommend staying at this hotel if you have  to be in this part of the City on business.  The staff were extremely courteous and supportive and the rooms were very comfortable.,
35,What they say is true about this hotel,I was able to book a balcony King suite with my family of four (6 and 8 yr olds) over Christmas. The room was huge and plenty of storage space.  We were blown away by the simple| thoughtful| homey| comfortable| and personal service that we received at this boutique hotel. I am terrible with names but the the doormen (who fixed our clogged toilet twice!)| the helpful staff at breakfast (included) and during the wine and cheese receptions (included) all exemplified caring and excellent customer service. Very cliche| but this is a very honest review. When we ask for something| they actually and REALLY deliver. What a concept these days when we get an attitude at other hotel stays for the same price in this city.  The turn down service and room cleaning were all done even on the day…,
2,hotel stay,this hotel is great . the rooms are clean the staff is pleasant and they take care of everything . it is centrally located and is very convenient to all of the sights and restaurants .  i highly recommend it ,
1,Another Great Holiday Visit,It's so easy to relax into the Hotel Giraffe family.  Warm| welcoming| genuinely delighted to see return guests! We always stay here. Great location. Fantastic service.  Evening wine and cheese always a great.,
112,Another great stay,Gabriella was| once again| just the best!!  Location is perfect| in the middle of everything without being too close to the crowds. Excellent accommodations and extremely friendly and accommodating staff. ,
8,great stay in this charming place,Great location| reasonable price (for NYC)| spacious and comfortable room (including comfy bed)| large window/glass door onto small balcony allowing lots of natural light and really nice and helpful staff.,
2,Pleasant surprise!,My husband and I reserved the Giraffe for a romantic night in the city. We have stayed in many city hotels and when we walked in this room| we couldn’t believe how big it was! It was so spacious and nicely furnished. High ceilings| a balcony with French doors and every detail you could imagine. The staff was so accommodating and friendly. We didn’t go to the wine/ cheese reception but we walked through it and it looked awesome. We had tickets to a concert at msg| so we couldn’t stay. Walking distance to msg| maybe 15/20 minute walk. Plus| they have a 1pm checkout. That’s unheard of. We will definitely visit the Giraffe again!,
2,NYC Home Away From Home,"Boutique hotel| with all the amenities| and the exceptional staff| is beyond compare. The Giraffe is located in an area of NYC where you can take a morning walk| and actually say ""good morning"" to the people who live on the block. This was our 2nd stay| and we are already planning our 3rd.",
29,Best Staff in NYC,An outstanding hotel experience!  The Giraffe staff was friendly and very accommodating We were a family group traveling with a 1 year old in December. Our rooms were extremely  clean and provided all amenities needed. They were able to provide us with a Pack and Play and refrigerator in the baby’s room. Evening wine and breakfast were excellent.  The Hotel Giraffe has quickly become our new NYC favorite! We will definitely return on our next trip to the city.,
4,Favorite Hotel,The facility| the staff| the location| the service and care make The Giraffe our favorite hotel in NYC (and almost everywhere). The staff are friendly| efficient and highly competent and aim to please. Housekeeping is impecable and quick.,
113,Fairytale Boutique in NYC,Stayed here for 4 nights in the run up to Christmas. It was our first ever visit to New York and the Hotel Giraffe was a fantastic choice. The location near to the Flat Iron District and the Empire State Building was excellent; the room was large| immaculately clean and well-furnished; and| the staff was incredibly attentive and friendly. The complimentary cheese and wine in the lobby every evening with a piano player is a really cool touch. Definitely be booking for our next trip.,
1,162,Perfect stay,Excellent location| staff| cleanliness and all the amenities you would love to have.  Breakfast| coffee all day and wine and cheese and snacks from 5-8 daily.  What a great value.  The balcony king suite is a really nice large room.  If you plan to do a lot in Flatiron district this is a great place to stay and many parts of the city are easy to get too.  Probably our favorite place that we have stayed in NYC.
37,NYC Gem,The Giraffe never disappoints.  The rooms are clean| comfortable| and spacious (by NYC standards).  The location can't be beat - convenient to two main subway lines and within walking distance to  great restaurants and points of interest.  The staff| however| is what makes the Giraffe a true gem.  The front desk can assist with any requests| cabs miraculously appear| and the free continental breakfasts and nightly wine and cheese offerings are a true value-added.  We look forward to visiting with Gabriella| the thoughtful and charming hostess| on every visit.  ,
3,Memorable Stay in NYC,Hotel Giraffe is a perfect boutique hotel in a perfect little spot. The service is the real winner here. We arrived before our room was available and the staff were more than accommodating. Jose| the doorman| was fantastic. He bent over backwards to help us find places to eat| explore| transportation| and just a great person. A great experience before the Christmas holiday. Breakfast was simple but great as well.,
1,Perfect Location| Perfect Hotel,Stayed here last week for 5 nights in a Classic King Suite. Excellent room| plenty of space for two and quality fittings and furniture etcWe were told that the views from the hotel were limited and therefore we opted for a room without a balcony (which definitely wasn’t needed as we were out all day anyway!)Reception staff were very friendly and always happy to help.Located a 12 minute walk to the Empire State Building| and approximately 24 minutes walking distance to Times Square. Close enough to the action but far away enough to get a peaceful nights sleep.Will definitely be planning another trip back to New York and would not hesitate to stay here again.,
7,BEST IN THEIR CLASS!!,This is the nr 1 choise for us. We have stayed in many hotels thrue the years and this hotel is| in our opinione the best choice. They are not trying to be 5 stars and they are never going to touch the 3 star aeria. BEST IN THEYR CLASS!,
7,Fantastic Hotel!,Definitely will return here ~ Hotel is fabulous with wonderful amenities! Continental breakfast and cookies| tea and coffee in the afternoon| wine and cheese available in the evening before dinner ~ simply home away from home. Staff served humbly and perfectly kind ~ Not one complaint...,
2,Always look forward to staying at the Giraffe,Staying at the Giraffe is like staying being at a home away from  home. From the moment we step through the doors we are greeted with a warm “welcome back” from all the wonderful people we have gotten to know over the years. Everything about this hotel is spot on| so much so other hotels could take a lesson on how to treat guests and make there stay  the best it could possibly be in all ways. Thank You all and a very Merry Christmas and the best in the New Year. See you on our return visit.,
34,Average experience - poor breakfast!,"I have visited in NYC about 10 times in the past year and this time selected the Giraffe hotel based on the reviews in Trip Advisor.Overall experience was average. I was not able to see ""amazing service"" during the check-in/out| nor anywhere else during my stay. The breakfast was exactly the same every day - very generic and basic. They are just servicing that at the hotel lobby so there is no any restaurant at the hotel.The room was ok but VERY noisy. There was no any soundproofing and all traffic noise is coming directly to the room. WC was very cold.I would recommend to select some other hotel with the same money as I don´t see that the there is enough value for your money. I don´t really understand why this hotel is so highly rated in TripAdvisor - at least some of ratings…",
4,Friendly staff,Always a pleasant stay.  The staff is consistently helpful and friendly.The free access to a quality fitness center is a plus.  However| the nearby fitness center is getting a bit run down and needs refurbishing.Nice to have food| drinks| snacks available through the day.,
1,Wonderful Stay,Hotel Giraffe was absolutely superb. It was exactly as advertised on the website. Perfect location| not too busy but within a few minutes walk of the sites. Staff could not have been more helpful. Brilliant ,
6,Amazing hotel| amazing staff,The room we had was stunning. A wee suite. Exceptionally comfortable. We loved the breakfasts and the evening cheese and wine tasting.  The prosecco was really delicious. I have to say| Gabriella is such a wonderful lady.  She made us feel so welcome and she is a huge shining star for you to have on your team.  Please pass on our huge thanks to Gabriella as well as everyone else who looked after us.  We really hope to be back again soon.,
12,Absolutely wonderful!,Living in Western Australia and travelling so far to get to New York| we wanted our hotel to be great - and it is! We’re staying 11 nights and arrived a couple of days ago and the staff here have been so welcoming| it really feels like home. We are a family of 3 travelling with our teenage daughter and so opted for the two double bed room with a balcony - perfect for us. Very clean and smelt lovely on arrival. Super comfortable beds and linen. The housekeeping lady did a great job yesterday - very friendly and courteous. The pre dinner wine/ cheese served in the lobby has a very relaxing feel and is just the ticket after a long day sightseeing. We’re so happy to have found this hotel and can’t thank them enough for their wonderful hospitality! 5 stars well deserved!!,
